   %c0  GHz  TSC SMI    %c1    %c3    %c6    %c7 CTMP PTMP   %pc2   %pc3   %pc6   %pc7  Pkg_W  Cor_W GFX_W
 75.40 3.41 2.79   0  24.60   0.00   0.00   0.00   90   90   0.00   0.00   0.00   0.00  57.84  50.16  0.00
 75.28 3.41 2.79   0  24.72   0.00   0.00   0.00   88   88   0.00   0.00   0.00   0.00  57.83  50.15  0.00
 75.41 3.41 2.79   0  24.59   0.00   0.00   0.00   89   89   0.00   0.00   0.00   0.00  57.83  50.16  0.00
  6.39 2.91 2.79   0   3.57   0.12   0.05  89.87   62   63  81.94   0.00   0.00   0.00   5.69   3.37  0.00
  2.32 1.18 2.79   0   2.97   0.10   0.13  94.48   61   61  82.67   0.00   0.00   0.00   1.99   0.16  0.00
  2.54 0.97 2.79   0   3.47   0.18   0.17  93.64   59   60  80.40   0.00   0.00   0.00   1.91   0.14  0.00
  1.89 0.98 2.79   0   2.40   0.07   0.06  95.59   58   59  85.91   0.00   0.00   0.00   1.67   0.05  0.00
  1.60 1.18 2.79   0   2.10   0.05   0.03  96.22   57   57  87.59   0.00   0.00   0.00   1.63   0.12  0.00
  2.03 0.97 2.79   0   2.62   0.10   0.07  95.18   56   57  84.66   0.00   0.00   0.00   1.68   0.10  0.00
  1.55 1.32 2.79   0   2.12   0.09   0.09  96.16   55   56  88.09   0.00   0.00   0.00   1.66   0.10  0.00
  1.73 1.27 2.79   0   2.80   0.11   0.06  95.29   55   55  84.89   0.00   0.00   0.00   1.66   0.12  0.00
  1.51 1.32 2.79   0   2.01   0.07   0.02  96.38   54   55  88.20   0.00   0.00   0.00   1.60   0.13  0.00
  1.73 1.42 2.79   0   2.31   0.11   0.05  95.80   54   55  86.61   0.00   0.00   0.00   1.84   0.16  0.00
